protocol,split,segment,fold,metric,slope,r_squared,range
testonly,test_final,trend,5,f1,0.8033123170810936,0.9142394853555956,0.6035247350847627
testonly,test_final,trend,6,f1,0.9962169078612148,0.9561822241020823,0.7220283843486458
testonly,test_final,trend,7,f1,0.959510802553308,0.8409919578686387,0.7858283879161229
testonly,test_final,trend,8,f1,0.8234070430053061,0.9849233148921989,0.6035152347652348
testonly,test_final,trend,9,f1,0.8863557016759769,0.9072835128233097,0.7138413023353476
testonly,val_inner,trend,0,f1,1.091564386212395,0.9288586658564711,0.7351115424979061
testonly,val_inner,trend,1,f1,0.8010715570173425,0.9567036350855073,0.6035997353567595
testonly,val_inner,trend,2,f1,1.04689945546479,0.9724451060890567,0.7953945470784267
testonly,val_inner,trend,3,f1,1.0663685363759894,0.934027684665463,0.7791123499568632
testonly,val_inner,trend,4,f1,0.9248120615767674,0.9477126518762182,0.6630428803222922
testonly,val_inner,trend,5,f1,0.7835829996637245,0.9529608803573216,0.6168686046463825
testonly,val_inner,trend,6,f1,0.9077685983901836,0.9744701171898128,0.6668545720300865
testonly,val_inner,trend,7,f1,1.0424585816506555,0.9342448241173575,0.813741569361774
testonly,val_inner,trend,8,f1,0.7671135652456041,0.972566594276043,0.5589130333056165
testonly,val_inner,trend,9,f1,0.8402512898722023,0.9105370251861138,0.6106236509040965
fullcatalog,n/a,new,0,ndcg,-0.0671798138558995,0.9608592406349405,0.06170759943122381
fullcatalog,n/a,new,1,ndcg,-0.030285824493160234,0.9391889396322046,0.027751949721553724
fullcatalog,n/a,new,2,ndcg,-0.03899839209741219,0.9771188176246881,0.03502102369956751
fullcatalog,n/a,new,3,ndcg,-0.03307241859507538,0.9400053186164126,0.02693942445174127
fullcatalog,n/a,new,4,ndcg,-0.023558512762209317,0.9519903432213522,0.022218863114010327
fullcatalog,n/a,new,5,ndcg,-0.02863650845923054,0.9379412658634128,0.02661004012153662
fullcatalog,n/a,new,6,ndcg,-0.04929114550658126,0.9670819604518311,0.0446138370508472
fullcatalog,n/a,new,7,ndcg,-0.0026515595532835023,0.0804834039078304,0.007976544329505016
fullcatalog,n/a,new,8,ndcg,-0.02633158927556437,0.9282169492258044,0.024537895267729492
fullcatalog,n/a,new,9,ndcg,-0.023503651821069824,0.9906055550524855,0.019270094417956317
fullcatalog,n/a,regular,0,ndcg,-0.017777409091574863,0.9577105434445788,0.01446978059794575
fullcatalog,n/a,regular,1,ndcg,-0.03339659386497399,0.9859469336093981,0.02820718955520754
fullcatalog,n/a,regular,2,ndcg,-0.027432843821338825,0.9717808615454148,0.023334085897483592
fullcatalog,n/a,regular,3,ndcg,-0.022082314437273754,0.9574368501300102,0.01789741802782155
fullcatalog,n/a,regular,4,ndcg,-0.021088543251555115,0.9925124513143034,0.01803268136429241
fullcatalog,n/a,regular,5,ndcg,-0.03103881430984133,0.9919706356452124,0.024431049539998223
fullcatalog,n/a,regular,6,ndcg,-0.015016499807985003,0.9709277650419958,0.01165986069739662
fullcatalog,n/a,regular,7,ndcg,-0.026079506627051587,0.9771981413923161,0.02348626160661979
fullcatalog,n/a,regular,8,ndcg,-0.02152072472619015,0.9723807158711384,0.017566448665705295
fullcatalog,n/a,regular,9,ndcg,-0.007479931786321733,0.760868503454995,0.008257963804371979
fullcatalog,n/a,trend,0,ndcg,-0.011595295527642605,0.5628286476179069,0.012400477137623822
fullcatalog,n/a,trend,1,ndcg,-0.012022745757559258,0.7035328908019295,0.014306406251799964
fullcatalog,n/a,trend,2,ndcg,-0.02116806821842314,0.9382220931341348,0.016086782569796107
fullcatalog,n/a,trend,3,ndcg,-0.03755276357000612,0.9709340895846095,0.026093752002302725
fullcatalog,n/a,trend,4,ndcg,-0.013190080623450649,0.7722118028753558,0.011520437141725681
fullcatalog,n/a,trend,5,ndcg,-0.023146789517576274,0.9501632548809131,0.017649865013463065
fullcatalog,n/a,trend,6,ndcg,-0.003957670688411498,0.22436081334470903,0.007687686093517845
fullcatalog,n/a,trend,7,ndcg,-0.03816981059203447,0.911063206749186,0.026815096157386073
fullcatalog,n/a,trend,8,ndcg,0.002601313170272751,0.05708182024671089,0.009519370025369345
fullcatalog,n/a,trend,9,ndcg,-0.0011883584615738538,0.035461463695446366,0.005979971178418322
testonly,test_final,new,0,ndcg,0.01478722251487739,0.9138096057573387,0.01192648135236729
testonly,test_final,new,1,ndcg,-0.008811924652663653,0.2199555248826269,0.013977317078087026
testonly,test_final,new,2,ndcg,0.03804710973003117,0.9677800020054028,0.031004641553908918
testonly,test_final,new,3,ndcg,0.03567094148541465,0.9708481113530288,0.02965378568271193
testonly,test_final,new,4,ndcg,-0.0006853888043895641,0.0028232208265879855,0.010142153287914124
testonly,test_final,new,5,ndcg,0.023313080171705414,0.9261102800014281,0.01671591378205295
testonly,test_final,new,6,ndcg,0.01884142399184768,0.6669230769230804,0.016624785875159698
